Title,Company,Location,Salary,Summary,Is Urgent,Date
Frontend Software Engineer,Fresh Tracks Canada,"Hybrid remote in Vancouver, BC",,"Since 1996, our team of Canadian Insiders have helped our customers plan their vacations and enjoy life-changing travel experiences.",,
Web Developer,VERB Interactive,Remote in Canada,,"As a Web Developer, you will work on multiple projects to architect code and collaborate on the development of platform builds.Job Types: Full-time, Permanent.",,8
Front End Engineer,Hackhub,"Temporarily Remote in Vancouver, BC","$50,000 a year",Host hackathons and connect with a large community of talent to build high-performing teams with ease.Working with the product team to design and validate app…,,30
Front End Engineer,Binance.US,"Vancouver, BC",,"Familiar with front-end engineering and related packaging tools;Experience in building a complete front-end framework independently, know the packaging,…",,6
Senior Front End Developer,Machobear Studios,"Remote in Vancouver, BC","$58,138 - $110,000 a year",Collaborate with cross-functional teams to build and customize high performing enterprise web and mobile applications.Experience with ReactJS and React Native.,Urgently hiring,4
Senior Front End Developer - Vancouver,PPT,"Hybrid remote in Vancouver, BC",,"5+ years of HTML/CSS experience, including concepts like layout, flex, and cross-browser compatibility.A solid understanding of core Front-End web technologies…",,7
Front-End Developer,TOP Agency,"Vancouver, BC",,"Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery.3+ years of professional experience in software development.",,1
Front End Developer,TECHIES OF TOMORROW DIGITAL SOLUTIONS INC.,"Burnaby, BC",$25 - $35 an hour,"Will receive mentorship on Front-end Development, Back-end Development, Soft Skills, Leadership, and Project management.Understanding of Front-End development.",Urgently hiring,5
Cashier Team Member (Front End Service) - Full Time,Whole Foods Market,"Burnaby, BC+2 locations",,"Provides support as a member of the Front-End team to include assisting customers during the check-out process, performing all cash register functions, bagging…",,
Front End Engineer II - AWS-V3209,"Amazon Web Services Canada, In","Vancouver, BC+37 locations","$114,800 - $191,800 a year","1 year Experience developing front-end software, with deep experience in one or more relevant front-end frameworks (React, AngularJS, Webcomponents, etc.).",,4
Javascript Engineer (Canada Remote),Fullscript,"Remote in Vancouver, BC",,Implement tooling to make front-end development easier.Scope and plan projects and working with other developers (front-end and back) to implement them.,,10
Front End Developer,Rainforest Automation,"Remote in Vancouver, BC","$55,265 - $75,000 a year","1+ years front-end software development.Develop front-end experiences in our React-based portals and React Native-based apps.Job Types: Full-time, Permanent.",,15
Full stack JavaScript Developer,Properate,"Remote in Vancouver, BC","$55,550 - $121,235 a year","Knowledge of data structures and front end development.Must be Canadian citizen or permanent resident.As an Full Stack JavaScript Developer, we will depend on…",Urgently hiring,8
Java professionals - Entry Level,ShoreWise Consulting LLC,"Vancouver, BC","$45,000 - $50,000 a year","ShoreWise Consulting is looking for Java professionals at various levels.*.Tech , B.E, MCA BCA, Graduate with Computer Science background/ Java Certified.",Urgently hiring,
Front End (Javascript) Developer Co-Op (Fall Term 2022),Later,"Vancouver, BC",,"Develop and deliver reliable, scalable front end applications in EmberJS; TypeScript.Familiar with Javascript front-end frameworks (i.e. Angular or React) and…",,3
Front End (Javascript) Developer Co-Op (Fall Term 2022),Later,"Vancouver, BC",,"Develop and deliver reliable, scalable front end applications in EmberJS; TypeScript.Familiar with Javascript front-end frameworks (i.e. Angular or React) and…",,3
Front End Developer - React Native,Ecoation,"Vancouver, BC",,"Ideally, applicants should have 5+ years of work experience (at least 2 full years working with React Native / Flutter).Write unit and integration tests.",,
Front End Software Developer,Nova Interactive Ltd,"Vancouver, BC",$20 - $35 an hour,2+ years of hands-on experience with Software Engineer best practices.Some experience shipping large-scale full-stack web applications.,Urgently hiring,14
Front End Developer,AdButler,"Remote in Vancouver, BC",,*Work closely with UI/UX and product team to develop and implement new software programs*.*Maintain and improve the performance of our existing ad server…,,6
Front End Cashier,A&W Restaurants,"Vancouver, BC",$15.50 an hour,"The role of cashier consists of front counter service, which includes greeting customers, taking food and beverage orders, maintaining customer satisfaction,…",Urgently hiring,8
Intermediate Web Developer (remote optional),Spare Labs,"Remote in Vancouver, BC","$70,000 - $90,000 a year","Work closely with Marketing to bring innovative solutions forward for SEO, building educational (free) tools and making sure our website helps the marketing…",,30
Frontend Engineer,ZenHub,"Remote in Vancouver, BC",,"Improve technical skills, share knowledge with the rest of the team and act as a mentor for other developers.Has expert knowledge of JavaScript.",,7
Software Engineer - Front-End,Microsoft,"Vancouver, BC",,2+ years’ engineering experience in software front-end engineering.Autonomy and freedom to innovate.Choice of the best of open source and Microsoft-internal…,,30
"Store Support Supervisor (Customer Service, Front End Suppor...",Whole Foods Market,"West Vancouver, BC+1 location",,Assists with scheduling and supervision of Store Support Team Members as well with the as day-to-day flow of the department.Must be able to lift 50 pounds.,,
Senior Front-End Software Developer,Tantalus,"Remote in Burnaby, BC",,"Develop, integrate and implement applications components including front-end development, server-side development and database integration.",,16
Web developer,Alpha Box Trading Ltd.,"Surrey, BC",$33 an hour,Other benefits Free parking available Parking available Screening questions Are you currently legally able to work in Canada? Are you willing to relocate for…,,7
Software Developer ll (Web Front-End),Wenco (a Hitachi Subsidiary),"Remote in Richmond, BC",,"Analyze, modify, write, and implement software code related to the creation and maintenance of software applications and services.",,7
Web developer,Red Dog Security & Protection Services,"Surrey, BC",$29 an hour,Research and evaluate a variety of interactive media software products.Consult with clients to develop and document Website requirements.,,
Web developer,COS Educational Consulting Inc.,"Remote in Vancouver, BC",$32.50 an hour,"Research and evaluate a variety of interactive media software products.Source, select and organize information for inclusion and design the appearance, layout…",,30
Intermediate Front-End Software Developer,Scrawlr Development Inc.,"Vancouver, BC","$72,000 - $89,000 a year",Front-end team members are given a high degree of product ownership and the latitude to propose and implement approaches that can be divergent from all standard…,,4
Intermediate Front-End Software Developer,Scrawlr Development Inc.,"Vancouver, BC","$72,000 - $89,000 a year",Front-end team members are given a high degree of product ownership and the latitude to propose and implement approaches that can be divergent from all standard…,,4
Front-End Developer,AlphaPay,"Richmond, BC",,You will work to establish relationships with new clients and maintain client relationships to increase our market share.,,30
Lead Frontend Engineer,Canada Drives,"Remote in Vancouver, BC",,"Experience with managing a team of developers, not just on the technical side.As a Lead Frontend Engineer, you will be at the forefront of new and exciting…",,7
Website Developer,RealtyBloc Solutions Corp.,"Vancouver, BC",$33 an hour,"In the years we have been operating, we have proven this by delivering high-quality, user-friendly, attractive websites and web applications.",,30
iOS Developer,HeadCheck Health,"Vancouver, BC","$110,000 - $150,000 a year",Code! Execute the development of new features and bug fixes for our mobile apps from idea to release.Collaborate and communicate with product managers and…,,3
Front End Developer,Massive Media,"Remote in Vancouver, BC",,Min. 5 yrs experience in front-end development.Massive is a Vancouver-based full-service branding and creative agency helping brands craft impactful…,,30
Junior Software Developer,Fieldshare,"Vancouver, BC","$50,000 - $55,000 a year","Can balance multiple concurrent projects to shift gears from back-end to front-end.Analyzing requirements, and designing, developing, and testing solutions.",,
Frontend Developer,Spring Financial Inc.,"Remote in Vancouver, BC",,"4+ years of modern JavaScript framework experience such as React, Vue, and Angular.Exposure and working knowledge of the latest ES6+ features.",,30
Front End Developer,Critical Mass,"Remote in Vancouver, BC",,"Mentor other front-end developers.Experience with Webpack, or other tools used to optimize and maintain front-end build systems.",,30
Web developer,Axis Planning Inc.,"Vancouver, BC",$32.50 an hour,Research and evaluate a variety of interactive media software products.Prepare mock-ups and storyboards.Consult with clients to develop and document Website…,,26
Web developer,Tegh Communications Ltd.,"Delta, BC",$32.30 an hour,Research and evaluate a variety of interactive media software products.Prepare mock-ups and storyboards.Consult with clients to develop and document Website…,,5
Senior Front End Developer,Unchained Tech,"Remote in Vancouver, BC","$100,000 - $140,000 a year",We're looking for a self-organised front-end developer with experience working remotely with high performance teams.All code is versioned in GitHub.,,6
Senior Front End Engineer - Vancouver Canada,ARM Treasure Data,"Remote in Vancouver, BC",,"We're looking for front-end engineers to build their careers in engineering.We build and support a suite of React web apps, a common design system, full-stack…",,13
Full Stack Developer,Synic Software Inc.,"Vancouver, BC","$40,000 - $45,000 a year","1+ years experience in front and back-end roles.Front and back end development for assigned projects.Front-end Languages: HTML5, CSS3, JavaScript.",Urgently hiring,3
Web developer,Miku Restaurant Vancouver Ltd.,"Vancouver, BC",$25 - $29 an hour,"Source, select and organize information for inclusion and design the appearance, layout and flow of the Website.",,30
Web developer,Miku Restaurant Vancouver Ltd.,"Vancouver, BC",$25 - $29 an hour,"Source, select and organize information for inclusion and design the appearance, layout and flow of the Website.",,30
"Product Developer, Bags",Lululemon,"Vancouver, BC",,"Strong applied comprehension of end to end product life cycle.From concept through to pre-production stage, Product Development are the front-line regarding…",,17
Software Developer,UniUni (Uni Express Inc.),"Burnaby, BC",,"Can balance multiple concurrent projects to shift gears from back-end to front-end.In this role, you will be supporting the team to design, build and optimize…",Urgently hiring,
Implementation Developer,Aimsio,"Vancouver, BC",,"Experience working with SQL queries and front-end programming (e.g. JavaScript, HTML/CSS).A technical background with front-end coding experience using…",,5
Junior Java Developer,Global Relay,"Hybrid remote in Vancouver, BC",,Work as part of an agile development team to write clear and maintainable code for enterprise services.Write unit and integration tests for your code.,,30
Senior Front End Engineer,Thinkific,"Remote in Vancouver, BC",,"Have 5+ years of experience in a front end role, with 2-3 of those years at a senior level.In this role, you'll work closely with your Engineering Manager,…",,4
Lead Front End Developer,Strata Identity,"Remote in Vancouver, BC","$130,000 - $150,000 a year","Experience leading and mentoring an engineering team in front end application design, patterns, and practices.Job Types: Full-time, Permanent.",,5
Software Development Engineer,Amazon Dev Centre Canada ULC,"Vancouver, BC+23 locations",,A degree in Computer Science or related field (or 3+ years of industry experience) or equivalent experience.Strong background in computer science basics (data…,,
Software Developer,BOEING,"Remote in Richmond, BC",,"Collaborate with team members, Product Owner, and Scrum Master to ensure that the software meets the business requirements.Expert in Java and/or Python.",,4
Intermediate Frontend Developer,Railtown AI Technologies,"Hybrid remote in Vancouver, BC",,"As an Intermediate Software Developer, you’ll have shared responsibility for building a platform of applications and frameworks used by developers and software…",,30
Front End Developer,WiderFunnel,"Remote in Vancouver, BC",,"3+ year front end frameworks such as ReactJS, VueJS.Support Widerfunnel’s A/B testing projects by developing across the entire client web stack from front-end…",,21
Web Developer Intern,Tian'en Consulting Group Ltd.,"Vancouver, BC",$18 an hour,"Knowledge in HTML5, CSS3, JavaScript/TypeScript, VueJS and NodeJS.Experience working with WordPress programming.Manage and optimize website performance.",,5
Engineering Manager - Frontend,Canada Drives,"Remote in Vancouver, BC",,Be an important part of building the technology that provides customers with a 100% online purchasing experience-from start to finish-including delivery right…,,7
Freelance Senior Front End Developer (1-month contract),Thinkingbox,"Vancouver, BC",,"Excellent front end web development skills (Javascript / HTML / CSS).You understand how a website functions across the stack, from UI and user interactions to…",,6
Developer,Canucks,"Vancouver, BC",,They will act as support liaison between CSE and NHL/BAMTECH on all digital fronts and maintain back-end infrastructure.Source control management using Git.,,8
